iter	Passed	Remaining
0	4	4205
1	7	3754
2	11	3662
3	14	3599
4	17	3536
5	21	3478
6	24	3494
7	27	3456
8	31	3437
9	33	3328
10	37	3320
11	40	3315
12	44	3331
13	46	3291
14	50	3281
15	53	3268
16	56	3259
17	59	3255
18	63	3244
19	66	3230
20	69	3230
21	72	3221
22	76	3219
23	79	3214
24	82	3209
25	85	3205
26	89	3204
27	92	3199
28	95	3200
29	99	3196
30	102	3187
31	105	3184
32	108	3175
33	112	3169
34	115	3169
35	118	3161
36	121	3153
37	124	3145
38	127	3139
39	131	3134
40	134	3132
41	138	3135
42	141	3134
43	144	3135
44	148	3130
45	151	3124
46	154	3123
47	157	3119
48	161	3117
49	164	3117
50	167	3112
51	171	3109
52	174	3103
53	177	3098
54	180	3096
55	184	3091
56	187	3089
57	190	3086
58	193	3080
59	197	3075
60	200	3073
61	203	3069
62	206	3064
63	210	3061
64	213	3056
65	216	3053
66	219	3047
67	223	3044
68	226	3039
69	229	3035
70	232	3029
71	236	3030
72	239	3026
73	242	3023
74	246	3021
75	249	3019
76	252	3014
77	255	3011
78	258	3006
79	262	3002
80	265	2999
81	268	2995
82	272	2993
83	275	2992
84	279	2990
85	282	2985
86	285	2980
87	288	2977
88	291	2972
89	295	2971
90	298	2967
91	301	2964
92	305	2962
93	308	2958
94	311	2953
95	314	2952
96	318	2949
97	321	2945
98	325	2945
99	328	2941
100	331	2938
101	335	2938
102	338	2934
103	341	2929
104	344	2927
105	348	2924
106	351	2920
107	354	2916
108	357	2910
109	360	2907
110	364	2904
111	367	2903
112	371	2902
113	374	2900
114	378	2896
115	381	2893
116	384	2889
117	387	2885
118	391	2882
119	394	2878
120	397	2872
121	400	2869
122	404	2868
123	407	2866
124	411	2864
125	414	2861
126	417	2858
127	420	2854
128	424	2850
129	427	2848
130	430	2845
131	434	2840
132	437	2836
133	440	2833
134	443	2831
135	446	2826
136	450	2822
137	453	2819
138	456	2816
139	460	2812
140	463	2809
141	466	2807
142	469	2802
143	472	2797
144	476	2794
145	479	2791
146	482	2789
147	486	2785
148	489	2781
149	492	2777
150	495	2775
151	499	2771
152	502	2768
153	505	2764
154	509	2762
155	512	2757
156	515	2754
157	518	2751
158	522	2749
159	525	2747
160	529	2743
161	532	2740
162	535	2737
163	538	2734
164	542	2730
165	545	2726
166	548	2721
167	551	2717
168	554	2714
169	558	2711
170	561	2708
171	564	2704
172	567	2700
173	571	2698
174	574	2694
175	577	2691
176	580	2687
177	584	2684
178	587	2681
179	590	2677
180	593	2674
181	597	2670
182	599	2665
183	603	2661
184	606	2657
185	609	2654
186	612	2649
187	615	2646
188	619	2643
189	622	2638
190	624	2634
191	628	2631
192	631	2627
193	634	2624
194	638	2621
195	641	2617
196	644	2614
197	647	2611
198	650	2606
199	653	2601
200	657	2599
201	660	2595
202	663	2592
203	666	2588
204	669	2585
205	673	2581
206	676	2578
207	679	2573
208	682	2570
209	685	2567
210	689	2564
211	692	2561
212	695	2557
213	698	2553
214	702	2550
215	705	2547
216	708	2544
217	711	2540
218	715	2538
219	718	2534
220	721	2530
221	724	2526
222	727	2522
223	730	2518
224	734	2515
225	737	2513
226	740	2509
227	744	2506
228	747	2503
229	750	2500
230	753	2496
231	757	2493
232	760	2491
233	764	2488
234	767	2485
235	770	2481
236	774	2478
237	777	2474
238	780	2470
239	783	2466
240	786	2463
241	789	2459
242	792	2455
243	795	2452
244	799	2450
245	802	2446
246	805	2442
247	808	2438
248	811	2435
249	814	2431
250	817	2427
251	821	2424
252	824	2421
253	828	2419
254	831	2415
255	834	2412
256	838	2410
257	841	2407
258	844	2403
259	847	2399
260	850	2396
261	853	2392
262	857	2389
263	860	2386
264	864	2385
265	866	2379
266	870	2377
267	874	2375
268	877	2372
269	881	2369
270	884	2366
271	887	2362
272	891	2360
273	894	2357
274	898	2354
275	901	2351
276	904	2348
277	907	2344
278	910	2340
279	913	2337
280	917	2333
281	920	2329
282	923	2326
283	926	2322
284	929	2319
285	932	2315
286	936	2312
287	939	2309
288	942	2305
289	945	2301
290	948	2298
291	951	2293
292	954	2290
293	957	2287
294	961	2283
295	964	2280
296	967	2277
297	970	2273
298	974	2270
299	977	2267
300	980	2263
301	983	2259
302	986	2256
303	989	2252
304	992	2249
305	995	2245
306	998	2241
307	1002	2239
308	1006	2236
309	1009	2233
310	1012	2231
311	1016	2227
312	1019	2224
313	1022	2221
314	1025	2217
315	1028	2213
316	1031	2210
317	1034	2206
318	1038	2203
319	1041	2199
320	1044	2196
321	1047	2192
322	1050	2188
323	1053	2185
324	1056	2181
325	1059	2178
326	1063	2174
327	1066	2171
328	1069	2168
329	1072	2164
330	1076	2162
331	1079	2158
332	1082	2155
333	1086	2152
334	1089	2149
335	1092	2145
336	1095	2142
337	1098	2139
338	1102	2136
339	1105	2132
340	1108	2128
341	1111	2126
342	1114	2122
343	1118	2119
344	1121	2116
345	1124	2112
346	1128	2110
347	1131	2106
348	1134	2103
349	1137	2100
350	1141	2096
351	1144	2093
352	1147	2090
353	1150	2086
354	1153	2083
355	1157	2080
356	1160	2077
357	1163	2073
358	1166	2070
359	1170	2067
360	1173	2064
361	1176	2060
362	1179	2056
363	1182	2053
364	1186	2050
365	1189	2047
366	1193	2044
367	1196	2041
368	1200	2039
369	1203	2036
370	1207	2033
371	1210	2031
372	1214	2027
373	1217	2024
374	1220	2021
375	1224	2018
376	1227	2014
377	1230	2011
378	1233	2007
379	1236	2004
380	1239	2001
381	1242	1997
382	1245	1993
383	1248	1990
384	1252	1987
385	1255	1984
386	1258	1980
387	1262	1978
388	1265	1974
389	1268	1971
390	1272	1968
391	1275	1965
392	1278	1962
393	1282	1959
394	1285	1955
395	1288	1952
396	1291	1948
397	1294	1944
398	1297	1941
399	1300	1938
400	1304	1935
401	1308	1932
402	1311	1929
403	1314	1926
404	1317	1922
405	1320	1919
406	1323	1916
407	1326	1912
408	1330	1909
409	1333	1905
410	1336	1902
411	1339	1899
412	1343	1896
413	1346	1893
414	1349	1889
415	1353	1886
416	1356	1883
417	1359	1880
418	1362	1876
419	1366	1873
420	1369	1870
421	1372	1867
422	1376	1864
423	1379	1860
424	1382	1857
425	1385	1854
426	1388	1850
427	1392	1847
428	1395	1844
429	1398	1840
430	1401	1837
431	1404	1833
432	1408	1830
433	1410	1826
434	1414	1823
435	1417	1820
436	1420	1817
437	1423	1813
438	1426	1810
439	1429	1806
440	1433	1803
441	1436	1800
442	1439	1797
443	1442	1793
444	1446	1790
445	1449	1787
446	1452	1783
447	1455	1779
448	1458	1776
449	1461	1772
450	1464	1769
451	1467	1766
452	1470	1762
453	1474	1760
454	1477	1757
455	1481	1753
456	1484	1750
457	1487	1747
458	1491	1744
459	1494	1741
460	1497	1737
461	1500	1734
462	1504	1731
463	1507	1728
464	1511	1726
465	1515	1723
466	1518	1720
467	1522	1717
468	1526	1715
469	1529	1712
470	1533	1708
471	1536	1705
472	1539	1702
473	1543	1700
474	1547	1697
475	1550	1693
476	1554	1690
477	1557	1687
478	1560	1684
479	1563	1680
480	1566	1677
481	1569	1673
482	1572	1670
483	1575	1666
484	1578	1663
485	1582	1660
486	1585	1657
487	1588	1653
488	1591	1650
489	1595	1647
490	1598	1644
491	1601	1640
492	1604	1637
493	1607	1633
494	1611	1630
495	1615	1628
496	1618	1624
497	1621	1621
498	1624	1618
499	1628	1615
500	1631	1611
501	1634	1608
502	1638	1605
503	1641	1602
504	1644	1598
505	1647	1595
506	1650	1592
507	1653	1588
508	1657	1585
509	1660	1582
510	1664	1579
511	1667	1576
512	1670	1572
513	1674	1569
514	1676	1566
515	1680	1562
516	1683	1559
517	1686	1556
518	1689	1553
519	1693	1549
520	1695	1546
521	1699	1543
522	1702	1539
523	1705	1536
524	1709	1533
525	1712	1530
526	1715	1527
527	1719	1523
528	1722	1520
529	1725	1517
530	1728	1513
531	1732	1510
532	1735	1507
533	1738	1504
534	1741	1500
535	1745	1497
536	1748	1494
537	1751	1491
538	1755	1488
539	1758	1484
540	1761	1481
541	1764	1478
542	1767	1474
543	1770	1471
544	1774	1468
545	1777	1464
546	1780	1461
547	1784	1458
548	1787	1455
549	1790	1452
550	1793	1448
551	1796	1445
552	1800	1442
553	1803	1438
554	1806	1435
555	1809	1432
556	1813	1428
557	1816	1425
558	1819	1422
559	1822	1419
560	1826	1415
561	1829	1413
562	1833	1410
563	1837	1407
564	1840	1403
565	1843	1400
566	1846	1397
567	1850	1394
568	1853	1391
569	1857	1387
570	1860	1384
571	1863	1381
572	1867	1378
573	1870	1375
574	1874	1372
575	1877	1368
576	1880	1365
577	1883	1362
578	1887	1359
579	1890	1356
580	1894	1352
581	1896	1349
582	1900	1346
583	1903	1342
584	1907	1339
585	1910	1336
586	1913	1333
587	1917	1330
588	1920	1326
589	1923	1323
590	1926	1320
591	1929	1316
592	1932	1313
593	1936	1310
594	1939	1307
595	1942	1303
596	1945	1300
597	1949	1297
598	1952	1294
599	1955	1290
600	1959	1287
601	1962	1284
602	1966	1281
603	1969	1278
604	1973	1275
605	1976	1271
606	1979	1268
607	1982	1265
608	1985	1261
609	1989	1258
610	1992	1255
611	1995	1252
612	1999	1249
613	2002	1245
614	2005	1242
615	2008	1239
616	2011	1235
617	2015	1232
618	2018	1229
619	2021	1226
620	2025	1223
621	2028	1219
622	2032	1216
623	2035	1213
624	2038	1210
625	2041	1206
626	2045	1203
627	2048	1200
628	2051	1197
629	2055	1193
630	2058	1190
631	2061	1187
632	2064	1183
633	2067	1180
634	2070	1177
635	2074	1174
636	2077	1170
637	2080	1167
638	2083	1164
639	2086	1160
640	2089	1157
641	2092	1154
642	2096	1150
643	2099	1147
644	2102	1144
645	2106	1141
646	2109	1137
647	2112	1134
648	2115	1131
649	2119	1127
650	2122	1124
651	2126	1121
652	2129	1118
653	2132	1115
654	2136	1112
655	2139	1108
656	2142	1105
657	2145	1102
658	2148	1098
659	2151	1095
660	2154	1092
661	2158	1089
662	2162	1085
663	2165	1082
664	2169	1079
665	2172	1076
666	2175	1073
667	2179	1069
668	2182	1066
669	2185	1063
670	2189	1060
671	2193	1057
672	2196	1054
673	2200	1051
674	2203	1048
675	2207	1044
676	2210	1041
677	2213	1038
678	2216	1034
679	2220	1031
680	2223	1028
681	2226	1025
682	2229	1021
683	2233	1018
684	2236	1015
685	2239	1012
686	2242	1008
687	2246	1005
688	2249	1002
689	2252	998
690	2255	995
691	2258	992
692	2261	988
693	2264	985
694	2267	982
695	2271	978
696	2274	975
697	2277	972
698	2280	969
699	2283	965
700	2287	962
701	2290	959
702	2293	955
703	2297	952
704	2300	949
705	2303	946
706	2306	942
707	2310	939
708	2313	936
709	2316	933
710	2319	929
711	2323	926
712	2326	923
713	2329	920
714	2333	916
715	2336	913
716	2340	910
717	2343	907
718	2346	904
719	2349	900
720	2352	897
721	2355	894
722	2359	890
723	2362	887
724	2366	884
725	2369	881
726	2372	877
727	2375	874
728	2379	871
729	2382	868
730	2385	864
731	2389	861
732	2392	858
733	2395	854
734	2398	851
735	2401	848
736	2404	845
737	2407	841
738	2411	838
739	2414	835
740	2417	832
741	2421	828
742	2424	825
743	2427	822
744	2431	819
745	2434	815
746	2438	812
747	2441	809
748	2444	806
749	2448	802
750	2451	799
751	2454	796
752	2458	793
753	2461	790
754	2465	786
755	2468	783
756	2471	780
757	2475	777
758	2478	773
759	2481	770
760	2485	767
761	2488	764
762	2492	761
763	2496	757
764	2499	754
765	2502	751
766	2505	748
767	2508	744
768	2511	741
769	2515	738
770	2518	734
771	2521	731
772	2525	728
773	2528	725
774	2531	721
775	2534	718
776	2538	715
777	2541	712
778	2544	708
779	2548	705
780	2551	702
781	2554	699
782	2557	695
783	2561	692
784	2564	689
785	2567	685
786	2570	682
787	2573	679
788	2577	676
789	2580	673
790	2584	669
791	2587	666
792	2591	663
793	2594	659
794	2597	656
795	2600	653
796	2603	650
797	2607	646
798	2610	643
799	2613	640
800	2616	637
801	2619	633
802	2622	630
803	2626	627
804	2629	623
805	2633	620
806	2636	617
807	2640	614
808	2643	610
809	2646	607
810	2649	604
811	2653	601
812	2656	597
813	2659	594
814	2662	591
815	2665	588
816	2669	584
817	2672	581
818	2676	578
819	2679	575
820	2683	571
821	2686	568
822	2689	565
823	2692	562
824	2695	558
825	2698	555
826	2702	552
827	2705	548
828	2708	545
829	2711	542
830	2714	539
831	2718	535
832	2721	532
833	2724	529
834	2728	526
835	2731	522
836	2735	519
837	2737	516
838	2740	512
839	2743	509
840	2747	506
841	2750	503
842	2753	499
843	2756	496
844	2759	493
845	2763	489
846	2766	486
847	2770	483
848	2773	480
849	2776	476
850	2780	473
851	2783	470
852	2786	467
853	2789	463
854	2793	460
855	2796	457
856	2799	454
857	2803	450
858	2806	447
859	2809	444
860	2812	440
861	2815	437
862	2819	434
863	2822	431
864	2826	428
865	2829	424
866	2833	421
867	2836	418
868	2839	414
869	2842	411
870	2846	408
871	2849	405
872	2852	401
873	2855	398
874	2859	395
875	2862	392
876	2865	388
877	2869	385
878	2872	382
879	2876	379
880	2879	375
881	2882	372
882	2886	369
883	2889	366
884	2892	362
885	2896	359
886	2899	356
887	2902	352
888	2905	349
889	2908	346
890	2912	343
891	2915	339
892	2918	336
893	2922	333
894	2925	330
895	2928	326
896	2932	323
897	2935	320
898	2938	317
899	2941	313
900	2945	310
901	2948	307
902	2951	303
903	2954	300
904	2957	297
905	2961	294
906	2964	290
907	2967	287
908	2971	284
909	2974	281
910	2977	277
911	2981	274
912	2984	271
913	2987	268
914	2990	264
915	2993	261
916	2997	258
917	3000	254
918	3003	251
919	3006	248
920	3009	245
921	3013	241
922	3016	238
923	3019	235
924	3022	232
925	3026	228
926	3029	225
927	3032	222
928	3035	218
929	3039	215
930	3042	212
931	3045	209
932	3048	205
933	3052	202
934	3055	199
935	3058	196
936	3062	192
937	3065	189
938	3068	186
939	3071	182
940	3074	179
941	3077	176
942	3081	173
943	3084	169
944	3088	166
945	3091	163
946	3094	160
947	3097	156
948	3101	153
949	3104	150
950	3107	147
951	3110	143
952	3113	140
953	3117	137
954	3120	133
955	3123	130
956	3126	127
957	3130	124
958	3133	120
959	3136	117
960	3140	114
961	3143	111
962	3147	107
963	3150	104
964	3154	101
965	3157	98
966	3160	94
967	3164	91
968	3167	88
969	3171	85
970	3174	81
971	3177	78
972	3180	75
973	3183	71
974	3187	68
975	3190	65
976	3194	62
977	3197	58
978	3200	55
979	3203	52
980	3207	49
981	3210	45
982	3213	42
983	3216	39
984	3219	35
985	3223	32
986	3226	29
987	3229	26
988	3232	22
989	3236	19
990	3239	16
991	3242	13
992	3245	9
993	3249	6
994	3252	3
995	3255	0
